Framework,Scenario,Expected Signal,Actual Signal,Deterministic,Causal,Result,Warning
elder_impulse_system,long_confirmed_event,buy,buy,True,True,Pass,
elder_impulse_system,short_confirmed_event,sell,sell,True,True,Pass,
elder_impulse_system,neutral_or_persistent_state,no repeated entry,no_trade,True,True,Pass,
connors_rsi_mean_reversion,long_confirmed_event,buy,buy,True,True,Pass,
connors_rsi_mean_reversion,short_confirmed_event,sell,sell,True,True,Pass,
connors_rsi_mean_reversion,neutral_or_persistent_state,no repeated entry,no_trade,True,True,Pass,
stochastic_pullback_trend,long_confirmed_event,buy,buy,True,True,Pass,
stochastic_pullback_trend,short_confirmed_event,sell,sell,True,True,Pass,
stochastic_pullback_trend,neutral_or_persistent_state,no repeated entry,no_trade,True,True,Pass,
williams_r_reversal,long_confirmed_event,buy,buy,True,True,Pass,
williams_r_reversal,short_confirmed_event,sell,sell,True,True,Pass,
williams_r_reversal,neutral_or_persistent_state,no repeated entry,no_trade,True,True,Pass,
cci_trend_pullback,long_confirmed_event,buy,buy,True,True,Pass,
cci_trend_pullback,short_confirmed_event,sell,sell,True,True,Pass,
cci_trend_pullback,neutral_or_persistent_state,no repeated entry,no_trade,True,True,Pass,
chandelier_exit_trend,long_confirmed_event,buy,buy,True,True,Pass,
chandelier_exit_trend,short_confirmed_event,sell,sell,True,True,Pass,
chandelier_exit_trend,neutral_or_persistent_state,no repeated entry,no_trade,True,True,Pass,
price_channel_trend,long_confirmed_event,buy,buy,True,True,Pass,
price_channel_trend,short_confirmed_event,sell,sell,True,True,Pass,
price_channel_trend,neutral_or_persistent_state,no repeated entry,no_trade,True,True,Pass,
heikin_ashi_trend,long_confirmed_event,buy,buy,True,True,Pass,
heikin_ashi_trend,short_confirmed_event,sell,sell,True,True,Pass,
heikin_ashi_trend,neutral_or_persistent_state,no repeated entry,no_trade,True,True,Pass,
aroon_trend,long_confirmed_event,buy,buy,True,True,Pass,
aroon_trend,short_confirmed_event,sell,sell,True,True,Pass,
aroon_trend,neutral_or_persistent_state,no repeated entry,no_trade,True,True,Pass,
momentum_acceleration_breakout,long_confirmed_event,buy,buy,True,True,Pass,
momentum_acceleration_breakout,short_confirmed_event,sell,sell,True,True,Pass,
momentum_acceleration_breakout,neutral_or_persistent_state,no repeated entry,no_trade,True,True,Pass,
volume_expansion_breakout,long_confirmed_event,buy,buy,True,True,Pass,
volume_expansion_breakout,short_confirmed_event,sell,sell,True,True,Pass,
volume_expansion_breakout,neutral_or_persistent_state,no repeated entry,no_trade,True,True,Pass,
nr4_nr7_volatility_breakout,long_confirmed_event,buy,buy,True,True,Pass,
nr4_nr7_volatility_breakout,short_confirmed_event,sell,sell,True,True,Pass,
nr4_nr7_volatility_breakout,neutral_or_persistent_state,no repeated entry,no_trade,True,True,Pass,
pin_bar_rejection,long_confirmed_event,buy,buy,True,True,Pass,
pin_bar_rejection,short_confirmed_event,sell,sell,True,True,Pass,
pin_bar_rejection,neutral_or_persistent_state,no repeated entry,no_trade,True,True,Pass,
engulfing_confirmation_trend,long_confirmed_event,buy,buy,True,True,Pass,
engulfing_confirmation_trend,short_confirmed_event,sell,sell,True,True,Pass,
engulfing_confirmation_trend,neutral_or_persistent_state,no repeated entry,no_trade,True,True,Pass,
pivot_range_breakout,long_confirmed_event,buy,buy,True,True,Pass,
pivot_range_breakout,short_confirmed_event,sell,sell,True,True,Pass,
pivot_range_breakout,neutral_or_persistent_state,no repeated entry,no_trade,True,True,Pass,
