framework,category,row_count,mode,median_ms,memory_bytes,preparation_ms,alignment_ms,decision_ms,controller_ms,policy_ms,session_ms,setup_ms,position_ms,diagnostics_ms,normalization_ms,serialization_ms,manifest_ms
stochastic_pullback_trend,momentum,10000,stateful,4815.729700028896,29358210,2.9384799767285585,62.42000001948327,3332.9917178023607,0.0,0.0,0.0,0.0,0.0,241.97694025933745,259.6199218882248,226.673801895231,0.2785600256174803
cci_trend_pullback,momentum,10000,stateful,4813.882100046612,29218252,3.547639981843531,65.57976000476629,3263.775418070145,0.0,0.0,0.0,0.0,0.0,251.58608064521104,266.56696216668934,232.0276821963489,0.340640009380877
stochastic_pullback_trend,momentum,10000,stateful_policy_instrumented,4806.13679997623,29358210,2.9183799866586924,62.39029997959733,3311.205316754058,124.26842,62.18668,20.7247,18.6565,21.4699,241.5065050125122,258.8699056999758,226.633485686034,0.2748399972915649
stochastic_pullback_trend,momentum,10000,stateful_policy,4746.47500005085,29358210,2.9029199853539467,70.54676001425833,3301.9800188951194,0.0,0.0,0.0,0.0,0.0,240.80134113319215,257.0510813500732,224.9513813760132,0.2836400177329778
williams_r_reversal,mean_reversion,10000,stateful,4593.485299963504,29238246,3.062799945473671,65.14028001111001,3132.5898609124124,0.0,0.0,0.0,0.0,0.0,238.95748159848156,254.9569194903597,224.21755949035287,0.2642999868839979
cci_trend_pullback,momentum,10000,stateful_policy,4572.7238999679685,29218252,3.2360400073230267,61.58336000517011,3149.6983777731657,0.0,0.0,0.0,0.0,0.0,239.65031639672816,257.9876795876771,225.65151960588992,0.3008200088515878
cci_trend_pullback,momentum,10000,stateful_policy_instrumented,4564.277400029823,29218252,2.9274400090798736,64.60367999970913,3098.8814203301445,122.82074,61.73326,21.8978,18.8776,20.9628,234.1759768081829,253.73238129541275,221.3099413085729,0.2672600094228983
williams_r_reversal,mean_reversion,10000,stateful_policy_instrumented,4559.58889995236,29238246,2.847540006041527,62.60389997623861,3097.571919229813,122.7383,61.4,22.4291,18.974,21.4746,236.06586027890444,253.929339745082,221.55085974372923,0.2780999755486846
williams_r_reversal,mean_reversion,10000,stateful_policy,4550.624900031835,29238246,2.871679980307817,63.17378000821919,3094.096563081257,0.0,0.0,0.0,0.0,0.0,235.49304269254208,254.47221416980025,221.19213417172432,0.2702799858525395
stochastic_pullback_trend,momentum,10000,stateless,4449.803099967539,17019044,2.9428600100800395,63.87812001630663,3242.0161192305386,0.0,0.0,0.0,0.0,0.0,227.51685911789536,234.0398611268029,220.53518113680184,0.0106600113213062
pin_bar_rejection,price_action,10000,stateful,4271.637799916789,31388586,3.168660029768944,65.25874000508338,2753.6453808192164,0.0,0.0,0.0,0.0,0.0,212.12065571453425,286.4611183991656,251.56265839468688,0.3143799724057317
triple_screen_trading,multi_timeframe,10000,stateful_policy_instrumented,4266.461199964397,34181489,5.732620018534362,190.9529200056568,2246.454323409125,96.01422,41.76202,18.7066,1.3072,21.4455,303.4793643048033,272.9870764538646,239.0728164697066,0.2230799524113536
triple_screen_trading,multi_timeframe,10000,stateful,4265.615900047123,34181489,6.150740012526512,196.880739973858,2257.359423069284,0.0,0.0,0.0,0.0,0.0,304.98754121363163,274.37892025336623,240.83420026581732,0.2422800054773688
williams_r_reversal,mean_reversion,10000,stateless,4245.450900052674,16959044,3.270879969932139,61.148180020973086,3070.025740610436,0.0,0.0,0.0,0.0,0.0,225.4023202927783,233.35930139292032,219.33352143969387,0.0136600108817219
triple_screen_trading,multi_timeframe,10000,stateless,4216.183800017461,23041486,5.766339972615242,198.92664002254605,2348.604740877636,0.0,0.0,0.0,0.0,0.0,309.46251910645515,261.4314786158502,246.83859860524532,0.0135200098156929
triple_screen_trading,multi_timeframe,10000,stateful_policy,4213.071599951945,34181489,5.232039978727698,187.8158800303936,2223.132899031043,0.0,0.0,0.0,0.0,0.0,298.9765201229602,270.2782796928659,237.0559196686372,0.2178800059482455
cci_trend_pullback,momentum,10000,stateless,4185.959900030866,16949044,2.7144799940288067,61.37373999226838,3008.997638220899,0.0,0.0,0.0,0.0,0.0,217.9030193714425,226.77514203824103,213.73308200854808,0.0097600044682621
pin_bar_rejection,price_action,10000,stateful_policy_instrumented,4101.765500032343,31388586,3.152079996652901,65.9783799899742,2659.2484603170305,136.96936,83.39756,18.5654,18.7008,44.4502,203.7178038153797,274.59581694565713,242.63569694012403,0.2803999930620193
pin_bar_rejection,price_action,10000,stateful_policy,4070.475799962878,31388586,2.890000003390014,61.24453998636454,2618.870282592252,0.0,0.0,0.0,0.0,0.0,198.1729010352865,269.41163958981633,236.67963959742335,0.3088400000706315
support_resistance_bounce,price_action,10000,stateful_policy_instrumented,3836.142399930395,29808752,3.0753999948501587,62.66441999468952,2281.41613912303,137.32762,83.3296,19.2632,18.9639,46.1415,214.0962776495144,247.77666453737768,213.9032845385373,0.2940199803560972
support_resistance_bounce,price_action,10000,stateful,3806.6799000371248,29808752,3.3330799778923392,65.96958001609892,2325.378021947108,0.0,0.0,0.0,0.0,0.0,216.01996005047116,252.1442180033773,216.4736579870805,0.3146399743854999
inside_bar_breakout,price_action,10000,stateful,3779.607400065288,29238746,3.584040002897382,69.17991999071091,2355.8959409594536,0.0,0.0,0.0,0.0,0.0,205.04862086381763,239.0034976880997,204.28383769467476,0.3208799986168742
momentum_acceleration_breakout,breakout,10000,stateful,3757.287400076166,29458624,3.242520010098815,66.87183997128159,2310.911699174904,0.0,0.0,0.0,0.0,0.0,216.77516223862767,243.95287833176556,210.3347183438018,0.285619986243546
elder_impulse_system,momentum,10000,stateful,3723.367700004019,28109038,3.5296399844810367,71.27368000801653,2385.219540679828,0.0,0.0,0.0,0.0,0.0,213.8347613159567,241.71944020781663,205.60760020744056,0.2511600032448768
heikin_ashi_trend,trend_following,10000,stateful,3690.470700035803,28079038,3.216399997472763,63.56045997235923,2339.110816922039,0.0,0.0,0.0,0.0,0.0,203.0581412138417,230.3841621614993,197.4057221552357,0.2274600090458989
pin_bar_rejection,price_action,10000,stateless,3655.322200036608,18818761,2.8872400522232056,60.74201993178576,2499.986419035122,0.0,0.0,0.0,0.0,0.0,181.55511780641973,239.158261497505,224.30630149319768,0.0103999627754092
momentum_acceleration_breakout,breakout,10000,stateful_policy_instrumented,3647.646600031294,29458624,3.0463399831205606,66.37954004108906,2205.9418197721243,111.99218,57.26958,18.467,17.3129,20.2949,205.3056005155668,236.08984081074595,202.50344078522176,0.2786400495097041
pivot_range_breakout,breakout,10000,stateful_policy,3617.4246999435127,29258644,3.295699995942414,63.15929999109357,2198.708096658811,0.0,0.0,0.0,0.0,0.0,200.33130233641717,231.08632226940244,196.6044422937557,0.2982200356200337
volume_expansion_breakout,breakout,10000,stateful,3616.220899973996,29358634,3.0084999976679683,66.22726002242416,2311.753118550405,0.0,0.0,0.0,0.0,0.0,198.76206065528092,231.20520140510047,196.22122140135616,0.2841399982571602
volume_expansion_breakout,breakout,10000,stateful_policy,3606.658500037156,29358634,3.14044002443552,65.95309996046126,2327.748335432261,0.0,0.0,0.0,0.0,0.0,202.30022170580924,231.6795831779018,197.16810318641365,0.2855399856343865
chandelier_exit_trend,trend_following,10000,stateful,3597.314800019376,28119038,3.0755399726331234,65.47016000840813,2198.627742496319,0.0,0.0,0.0,0.0,0.0,204.43103618454188,234.86555968411267,199.47239968460053,0.2319599734619259
pivot_range_breakout,breakout,10000,stateful,3583.019000012428,29258644,3.3787199994549155,67.67257999163121,2201.9546987023205,0.0,0.0,0.0,0.0,0.0,199.03645801823583,232.56252363789827,197.33434363733977,0.2840399742126465
volume_expansion_breakout,breakout,10000,stateful_policy_instrumented,3581.118200090714,29358634,2.9502399964258075,62.3468000208959,2252.339380653575,104.95364,54.13604,17.9398,16.8934,19.1965,194.24072129186243,222.7373770903796,190.8815371338278,0.269299978390336
support_resistance_bounce,price_action,10000,stateful_policy,3577.90389994625,29808752,2.8514999663457274,67.08660002332181,2181.1870343750343,0.0,0.0,0.0,0.0,0.0,199.22945708967745,234.9010440288112,202.0046440185979,0.2924199914559722
elder_impulse_system,momentum,10000,stateful_policy_instrumented,3574.0187000483274,28109038,2.9464200139045715,64.51293998397887,2287.389899394475,96.05752,41.36118,21.7265,1.4588,21.9566,200.96581862308085,229.88987532444295,197.9663752950728,0.2193999709561467
