framework,category,row_count,mode,memory_bytes
adx_trend_following,trend_following,1000,stateless,1695028
aroon_trend,trend_following,1000,stateless,1687031
atr_volatility_breakout,breakout,1000,stateless,1699028
bollinger_mean_reversion,mean_reversion,1000,stateless,1700025
bollinger_squeeze_breakout,breakout,1000,stateless,1702028
cci_trend_pullback,momentum,1000,stateless,1694043
chandelier_exit_trend,trend_following,1000,stateless,1697031
connors_rsi_mean_reversion,mean_reversion,1000,stateless,1702328
donchian_breakout,breakout,1000,stateless,1693028
dual_moving_average_crossover,trend_following,1000,stateless,1705028
elder_impulse_system,momentum,1000,stateless,1696031
ema_ribbon_trend,trend_following,1000,stateless,1692028
engulfing_confirmation_trend,price_action,1000,stateless,1704031
heikin_ashi_trend,trend_following,1000,stateless,1693031
ichimoku_cloud_trading,trend_following,1000,stateless,1703785
inside_bar_breakout,price_action,1000,stateless,1695028
keltner_channel_breakout,breakout,1000,stateless,1700028
macd_momentum,momentum,1000,stateless,1689028
momentum_acceleration_breakout,breakout,1000,stateless,1706031
nr4_nr7_volatility_breakout,price_action,1000,stateless,1703046
opening_range_breakout,breakout,1000,stateless,1618420
parabolic_sar_trend,trend_following,1000,stateless,1695028
pin_bar_rejection,price_action,1000,stateless,1880760
pivot_range_breakout,breakout,1000,stateless,1696031
price_channel_trend,trend_following,1000,stateless,1695031
rsi_pullback_trend,momentum,1000,stateless,1694028
stochastic_pullback_trend,momentum,1000,stateless,1701043
supertrend_trend_following,trend_following,1000,stateless,1716933
support_resistance_bounce,price_action,1000,stateless,1714934
triple_screen_trading,multi_timeframe,1000,stateless,2300920
turtle_trading,trend_following,1000,stateless,1690028
volume_expansion_breakout,breakout,1000,stateless,1701031
vwap_mean_reversion,mean_reversion,1000,stateless,1695028
williams_r_reversal,mean_reversion,1000,stateless,1695043
zscore_mean_reversion,mean_reversion,1000,stateless,1697028
adx_trend_following,trend_following,1000,stateful,2809031
aroon_trend,trend_following,1000,stateful,2801037
atr_volatility_breakout,breakout,1000,stateful,2813031
bollinger_mean_reversion,mean_reversion,1000,stateful,2814025
bollinger_squeeze_breakout,breakout,1000,stateful,2936738
cci_trend_pullback,momentum,1000,stateful,2920251
chandelier_exit_trend,trend_following,1000,stateful,2811037
connors_rsi_mean_reversion,mean_reversion,1000,stateful,2926038
donchian_breakout,breakout,1000,stateful,2807031
dual_moving_average_crossover,trend_following,1000,stateful,2819031
elder_impulse_system,momentum,1000,stateful,2810037
ema_ribbon_trend,trend_following,1000,stateful,2806031
engulfing_confirmation_trend,price_action,1000,stateful,2940627
heikin_ashi_trend,trend_following,1000,stateful,2807037
ichimoku_cloud_trading,trend_following,1000,stateful,2884672
inside_bar_breakout,price_action,1000,stateful,2922745
keltner_channel_breakout,breakout,1000,stateful,2814031
macd_momentum,momentum,1000,stateful,2803031
momentum_acceleration_breakout,breakout,1000,stateful,2944623
nr4_nr7_volatility_breakout,price_action,1000,stateful,2938089
opening_range_breakout,breakout,1000,stateful,2849134
parabolic_sar_trend,trend_following,1000,stateful,2809031
pin_bar_rejection,price_action,1000,stateful,3137585
pivot_range_breakout,breakout,1000,stateful,2924643
price_channel_trend,trend_following,1000,stateful,2809037
rsi_pullback_trend,momentum,1000,stateful,2920746
stochastic_pullback_trend,momentum,1000,stateful,2934209
supertrend_trend_following,trend_following,1000,stateful,2897820
support_resistance_bounce,price_action,1000,stateful,2979751
triple_screen_trading,multi_timeframe,1000,stateful,3414923
turtle_trading,trend_following,1000,stateful,2804031
volume_expansion_breakout,breakout,1000,stateful,2934633
vwap_mean_reversion,mean_reversion,1000,stateful,2809031
williams_r_reversal,mean_reversion,1000,stateful,2922245
zscore_mean_reversion,mean_reversion,1000,stateful,2811031
adx_trend_following,trend_following,1000,stateful_policy,2809031
aroon_trend,trend_following,1000,stateful_policy,2801037
atr_volatility_breakout,breakout,1000,stateful_policy,2813031
bollinger_mean_reversion,mean_reversion,1000,stateful_policy,2814025
bollinger_squeeze_breakout,breakout,1000,stateful_policy,2936738
cci_trend_pullback,momentum,1000,stateful_policy,2920251
chandelier_exit_trend,trend_following,1000,stateful_policy,2811037
connors_rsi_mean_reversion,mean_reversion,1000,stateful_policy,2926038
donchian_breakout,breakout,1000,stateful_policy,2807031
dual_moving_average_crossover,trend_following,1000,stateful_policy,2819031
elder_impulse_system,momentum,1000,stateful_policy,2810037
ema_ribbon_trend,trend_following,1000,stateful_policy,2806031
engulfing_confirmation_trend,price_action,1000,stateful_policy,2940627
heikin_ashi_trend,trend_following,1000,stateful_policy,2807037
ichimoku_cloud_trading,trend_following,1000,stateful_policy,2884672
inside_bar_breakout,price_action,1000,stateful_policy,2922745
keltner_channel_breakout,breakout,1000,stateful_policy,2814031
macd_momentum,momentum,1000,stateful_policy,2803031
momentum_acceleration_breakout,breakout,1000,stateful_policy,2944623
nr4_nr7_volatility_breakout,price_action,1000,stateful_policy,2938089
opening_range_breakout,breakout,1000,stateful_policy,2849134
parabolic_sar_trend,trend_following,1000,stateful_policy,2809031
pin_bar_rejection,price_action,1000,stateful_policy,3137585
pivot_range_breakout,breakout,1000,stateful_policy,2924643
price_channel_trend,trend_following,1000,stateful_policy,2809037
rsi_pullback_trend,momentum,1000,stateful_policy,2920746
stochastic_pullback_trend,momentum,1000,stateful_policy,2934209
supertrend_trend_following,trend_following,1000,stateful_policy,2897820
support_resistance_bounce,price_action,1000,stateful_policy,2979751
triple_screen_trading,multi_timeframe,1000,stateful_policy,3414923
turtle_trading,trend_following,1000,stateful_policy,2804031
volume_expansion_breakout,breakout,1000,stateful_policy,2934633
vwap_mean_reversion,mean_reversion,1000,stateful_policy,2809031
williams_r_reversal,mean_reversion,1000,stateful_policy,2922245
zscore_mean_reversion,mean_reversion,1000,stateful_policy,2811031
adx_trend_following,trend_following,1000,stateful_policy_instrumented,2809031
aroon_trend,trend_following,1000,stateful_policy_instrumented,2801037
atr_volatility_breakout,breakout,1000,stateful_policy_instrumented,2813031
bollinger_mean_reversion,mean_reversion,1000,stateful_policy_instrumented,2814025
bollinger_squeeze_breakout,breakout,1000,stateful_policy_instrumented,2936738
cci_trend_pullback,momentum,1000,stateful_policy_instrumented,2920251
chandelier_exit_trend,trend_following,1000,stateful_policy_instrumented,2811037
connors_rsi_mean_reversion,mean_reversion,1000,stateful_policy_instrumented,2926038
donchian_breakout,breakout,1000,stateful_policy_instrumented,2807031
dual_moving_average_crossover,trend_following,1000,stateful_policy_instrumented,2819031
elder_impulse_system,momentum,1000,stateful_policy_instrumented,2810037
ema_ribbon_trend,trend_following,1000,stateful_policy_instrumented,2806031
engulfing_confirmation_trend,price_action,1000,stateful_policy_instrumented,2940627
heikin_ashi_trend,trend_following,1000,stateful_policy_instrumented,2807037
ichimoku_cloud_trading,trend_following,1000,stateful_policy_instrumented,2884672
inside_bar_breakout,price_action,1000,stateful_policy_instrumented,2922745
keltner_channel_breakout,breakout,1000,stateful_policy_instrumented,2814031
macd_momentum,momentum,1000,stateful_policy_instrumented,2803031
momentum_acceleration_breakout,breakout,1000,stateful_policy_instrumented,2944623
nr4_nr7_volatility_breakout,price_action,1000,stateful_policy_instrumented,2938089
opening_range_breakout,breakout,1000,stateful_policy_instrumented,2849134
parabolic_sar_trend,trend_following,1000,stateful_policy_instrumented,2809031
pin_bar_rejection,price_action,1000,stateful_policy_instrumented,3137585
pivot_range_breakout,breakout,1000,stateful_policy_instrumented,2924643
price_channel_trend,trend_following,1000,stateful_policy_instrumented,2809037
rsi_pullback_trend,momentum,1000,stateful_policy_instrumented,2920746
stochastic_pullback_trend,momentum,1000,stateful_policy_instrumented,2934209
supertrend_trend_following,trend_following,1000,stateful_policy_instrumented,2897820
support_resistance_bounce,price_action,1000,stateful_policy_instrumented,2979751
triple_screen_trading,multi_timeframe,1000,stateful_policy_instrumented,3414923
turtle_trading,trend_following,1000,stateful_policy_instrumented,2804031
volume_expansion_breakout,breakout,1000,stateful_policy_instrumented,2934633
vwap_mean_reversion,mean_reversion,1000,stateful_policy_instrumented,2809031
williams_r_reversal,mean_reversion,1000,stateful_policy_instrumented,2922245
zscore_mean_reversion,mean_reversion,1000,stateful_policy_instrumented,2811031
adx_trend_following,trend_following,10000,stateless,16959029
aroon_trend,trend_following,10000,stateless,16879032
atr_volatility_breakout,breakout,10000,stateless,16999029
bollinger_mean_reversion,mean_reversion,10000,stateless,17009026
bollinger_squeeze_breakout,breakout,10000,stateless,17029029
cci_trend_pullback,momentum,10000,stateless,16949044
chandelier_exit_trend,trend_following,10000,stateless,16979032
connors_rsi_mean_reversion,mean_reversion,10000,stateless,17029329
donchian_breakout,breakout,10000,stateless,16939029
dual_moving_average_crossover,trend_following,10000,stateless,17059029
elder_impulse_system,momentum,10000,stateless,16969032
ema_ribbon_trend,trend_following,10000,stateless,16929029
engulfing_confirmation_trend,price_action,10000,stateless,17049032
heikin_ashi_trend,trend_following,10000,stateless,16939032
