framework,category,row_count,mode,instrumentation_enabled,warmup_runs,measured_runs,mean_ms,median_ms,minimum_ms,maximum_ms,standard_deviation_ms,p90_ms,preparation_ms,alignment_ms,decision_ms,controller_ms,policy_ms,session_ms,setup_ms,position_ms,diagnostics_ms,normalization_ms,serialization_ms,manifest_ms,memory_bytes,repeated_indicator_calculations
adx_trend_following,trend_following,1000,stateless,False,1,5,297.60460001416504,296.3140000356361,286.15000005811453,311.6876999847591,8.17816540408835,306.21674000285566,1.168380002491176,6.070059956982732,187.1619189390913,0.0,0.0,0.0,0.0,0.0,17.461520084179938,19.826501118950542,17.885521100834012,0.0090999994426965,1695028,0
aroon_trend,trend_following,1000,stateless,False,1,5,329.3864599894732,335.4391000466421,309.8539999919012,343.4549999656156,11.83055349216146,340.2953599812463,1.3211000012233851,6.451860000379384,212.98943953588605,0.0,0.0,0.0,0.0,0.0,18.90311995521188,20.98882037680596,18.907600385136902,0.0089199980720877,1687031,0
atr_volatility_breakout,breakout,1000,stateless,False,1,5,303.9964399999008,297.97279997728765,281.9955999730155,326.1631999630481,15.758277720556162,322.59379997849464,1.1865399312227964,6.484680040739477,190.75247964356092,0.0,0.0,0.0,0.0,0.0,18.300401442684237,20.63407963141799,18.604339635930955,0.0079000368714332,1699028,0
bollinger_mean_reversion,mean_reversion,1000,stateless,False,1,5,177.13681999593973,175.6218000082299,173.55279996991158,184.13099995814264,3.708709193578344,181.43743998371065,1.0543400421738625,5.766339995898306,77.43200012482703,0.0,0.0,0.0,0.0,0.0,14.975420013070108,17.51594073139131,15.696000680327414,0.0066600041463971,1700025,0
bollinger_squeeze_breakout,breakout,1000,stateless,False,1,5,309.19873998500407,309.3634999822825,301.7788000870496,315.91230002231896,4.482455121245867,313.4486199822277,1.1742199771106243,5.967319989576936,191.2749000824988,0.0,0.0,0.0,0.0,0.0,18.889760063029826,21.590079669840637,19.4939797045663,0.0087999738752841,1702028,0
cci_trend_pullback,momentum,1000,stateless,False,1,5,436.3753200275824,429.741199943237,414.8400000995025,466.7484000092372,18.184686926787897,458.360160025768,1.2699600076302886,6.079400004819036,310.9753789380193,0.0,0.0,0.0,0.0,0.0,23.40708018746227,24.00678053963929,22.02074052765965,0.0081400154158473,1694043,0
chandelier_exit_trend,trend_following,1000,stateless,False,1,5,314.73294000606984,313.22679994627833,296.61880002822727,330.2917000837624,11.505012369684094,327.42786002345383,1.1316600255668163,6.031679990701377,204.85537985805425,0.0,0.0,0.0,0.0,0.0,17.718940158374608,19.88127955701202,17.913739546202123,0.0083999941125512,1697031,0
connors_rsi_mean_reversion,mean_reversion,1000,stateless,False,1,5,260.8772800071165,258.0450000241399,248.0166000314057,276.0146000655368,10.73569988509243,273.79708003718406,1.1169800302013757,5.696640023961663,156.96281956043094,0.0,0.0,0.0,0.0,0.0,16.418899805285037,17.62911989353597,15.674179885536432,0.0122400233522057,1702328,0
donchian_breakout,breakout,1000,stateless,False,1,5,239.1122000059113,236.77289998158813,232.16810007579625,252.36809998750687,6.925580237228403,246.71989995986223,1.1673999717459085,5.81480001565069,130.42485951445997,0.0,0.0,0.0,0.0,0.0,16.389480093494058,18.80859972443432,16.932059777900577,0.007759965956211,1693028,0
dual_moving_average_crossover,trend_following,1000,stateless,False,1,5,300.81040000077337,304.7736999578774,283.9570000069216,307.4369999812916,8.701570202195517,307.14592000003904,1.1061399709433315,5.8840400306507945,188.77286028582603,0.0,0.0,0.0,0.0,0.0,17.91757980827242,20.161959971301258,18.127199937589467,0.0083799706771969,1705028,0
elder_impulse_system,momentum,1000,stateless,False,1,5,331.18463999126107,331.89729996956885,317.7669999422505,342.97340002376586,8.00342992526748,338.60580001492053,1.126960013061762,6.186839961446822,219.10907961428163,0.0,0.0,0.0,0.0,0.0,17.991020483896136,20.02064073458314,18.195840716362,0.0080600148066878,1696031,0
