Strategy ID,Strategy Name,Strategy Source,Template Type,Pair,Timeframe,SL %,TP %,ROI %,Profit Factor,Total PnL %,Win Rate %,Max Drawdown %,Trades,Expectancy,Runtime Seconds,PF Score,PnL Score,Win Score,DD Score,Trade Score,Overall Score
HYB001_EMA50_100_RSI14_VOL1P2_SL1P5_TP3P0,Generated Hybrid EMA 50/100 RSI 14 Vol 1.2,GENERATED,hybrid,ETHUSDT,15m,2.0,3.0,72.34,1.19,62.0,45.08,-20.37,244.0,29.65,40.9,14.875,25.0,15.026666666666666,9.815000000000001,10.0,74.71666666666667
VOL001_EMA20_100_VOL1P2_SL1P0_TP2P0,Generated Volume EMA 20/100 Vol 1.2,GENERATED,volume,SOLUSDT,15m,2.5,2.0,48.36,1.07,50.5,58.07,-28.03,446.0,10.84,31.12,13.375,25.0,19.356666666666666,5.985,10.0,73.71666666666667
VOL001_EMA20_100_VOL1P2_SL1P0_TP3P0,Generated Volume EMA 20/100 Vol 1.2,GENERATED,volume,SOLUSDT,15m,2.5,2.0,48.36,1.07,50.5,58.07,-28.03,446.0,10.84,31.43,13.375,25.0,19.356666666666666,5.985,10.0,73.71666666666667
HYB001_EMA20_200_RSI14_VOL1P5_SL1P5_TP3P0,Generated Hybrid EMA 20/200 RSI 14 Vol 1.5,GENERATED,hybrid,ETHUSDT,15m,2.0,5.0,86.41,1.28,71.0,35.03,-17.6,157.0,55.04,40.74,16.0,25.0,11.676666666666666,11.2,7.8500000000000005,71.72666666666666
HYB001_EMA20_100_RSI14_VOL1P2_SL1P5_TP3P0,Generated Hybrid EMA 20/100 RSI 14 Vol 1.2,GENERATED,hybrid,SOLUSDT,15m,2.0,3.0,69.86,1.13,63.0,43.87,-25.28,326.0,21.43,40.55,14.124999999999998,25.0,14.623333333333333,7.359999999999999,10.0,71.10833333333333
VOL001_EMA20_100_VOL1P5_SL1P0_TP2P0,Generated Volume EMA 20/100 Vol 1.5,GENERATED,volume,SOLUSDT,15m,2.0,2.0,56.43,1.09,54.0,52.92,-32.0,463.0,12.19,30.99,13.625000000000002,25.0,17.64,3.999999999999999,10.0,70.265
VOL001_EMA20_100_VOL1P5_SL1P0_TP3P0,Generated Volume EMA 20/100 Vol 1.5,GENERATED,volume,SOLUSDT,15m,2.0,2.0,56.43,1.09,54.0,52.92,-32.0,463.0,12.19,31.42,13.625000000000002,25.0,17.64,3.999999999999999,10.0,70.265
HYB001_EMA20_100_RSI14_VOL1P5_SL1P5_TP3P0,Generated Hybrid EMA 20/100 RSI 14 Vol 1.5,GENERATED,hybrid,ETHUSDT,15m,1.5,5.0,55.56,1.16,53.0,26.85,-19.39,216.0,25.72,40.72,14.499999999999998,25.0,8.95,10.305,10.0,68.755
HYB001_EMA20_200_RSI14_VOL1P2_SL1P5_TP3P0,Generated Hybrid EMA 20/200 RSI 14 Vol 1.2,GENERATED,hybrid,ETHUSDT,15m,2.0,5.0,56.73,1.18,54.0,33.14,-21.53,169.0,33.57,40.82,14.75,25.0,11.046666666666667,9.235,8.45,68.48166666666667
TRD001_EMA20_100_RSI14_PB45_SL1P0_TP2P0,Generated Trend EMA 20/100 RSI 14,GENERATED,trend,SOLUSDT,15m,2.0,3.0,51.21,1.09,52.0,42.98,-29.85,349.0,14.67,31.34,13.625000000000002,25.0,14.326666666666664,5.074999999999998,10.0,68.02666666666667
TRD001_EMA20_200_RSI14_PB40_SL1P0_TP2P0,Generated Trend EMA 20/200 RSI 14,GENERATED,trend,ETHUSDT,15m,2.5,3.0,31.86,1.09,36.0,48.42,-21.34,221.0,14.42,55.69,13.625000000000002,18.0,16.14,9.33,10.0,67.095
TRD001_EMA20_200_RSI14_PB40_SL1P0_TP3P0,Generated Trend EMA 20/200 RSI 14,GENERATED,trend,ETHUSDT,15m,2.5,3.0,31.86,1.09,36.0,48.42,-21.34,221.0,14.42,30.61,13.625000000000002,18.0,16.14,9.33,10.0,67.095
VOL001_EMA20_200_VOL1P2_SL1P0_TP2P0,Generated Volume EMA 20/200 Vol 1.2,GENERATED,volume,ETHUSDT,15m,2.5,3.0,39.91,1.1,42.5,48.73,-28.88,236.0,16.91,31.6,13.750000000000002,21.25,16.243333333333332,5.5600000000000005,10.0,66.80333333333334
