Output Column,Canonical Owners,Owner Count,Collision Type,Status,Notes
ACCELERATOR_OSCILLATOR,accelerator_oscillator,1,NONE,PASS,No shared canonical output name.
ACCUMULATION_DISTRIBUTION,accumulation_distribution,1,NONE,PASS,No shared canonical output name.
ADX,adx,1,NONE,PASS,No shared canonical output name.
ALMA,alma,1,NONE,PASS,No shared canonical output name.
APO,apo,1,NONE,PASS,No shared canonical output name.
AROON_DOWN,aroon,1,NONE,PASS,No shared canonical output name.
AROON_UP,aroon,1,NONE,PASS,No shared canonical output name.
ATR,atr,1,NONE,PASS,No shared canonical output name.
ATR_LOWER_BAND,atr_bands,1,NONE,PASS,No shared canonical output name.
ATR_MIDDLE_BAND,atr_bands,1,NONE,PASS,No shared canonical output name.
ATR_UPPER_BAND,atr_bands,1,NONE,PASS,No shared canonical output name.
AVERAGE_DAILY_RANGE,average_daily_range,1,NONE,PASS,No shared canonical output name.
AWESOME_OSCILLATOR,awesome_oscillator,1,NONE,PASS,No shared canonical output name.
BALANCE_OF_POWER,balance_of_power,1,NONE,PASS,No shared canonical output name.
BEAR_POWER,elder_ray_index,1,NONE,PASS,No shared canonical output name.
BOLLINGER_BAND_WIDTH,bollinger_band_width,1,NONE,PASS,No shared canonical output name.
BOLLINGER_LOWER,bollinger_bands,1,NONE,PASS,No shared canonical output name.
BOLLINGER_MIDDLE,bollinger_bands,1,NONE,PASS,No shared canonical output name.
BOLLINGER_PERCENT_B,bollinger_percent_b,1,NONE,PASS,No shared canonical output name.
BOLLINGER_UPPER,bollinger_bands,1,NONE,PASS,No shared canonical output name.
BOS,market_structure,1,NONE,PASS,No shared canonical output name.
BREAKER_BLOCK_BEARISH,breaker_block,1,NONE,PASS,No shared canonical output name.
BREAKER_BLOCK_BULLISH,breaker_block,1,NONE,PASS,No shared canonical output name.
BREAKER_BLOCK_LOWER,breaker_block,1,NONE,PASS,No shared canonical output name.
BREAKER_BLOCK_UPPER,breaker_block,1,NONE,PASS,No shared canonical output name.
BREAKOUT_BEARISH,breakout_detection,1,NONE,PASS,No shared canonical output name.
BREAKOUT_BULLISH,breakout_detection,1,NONE,PASS,No shared canonical output name.
BREAKOUT_LOWER,breakout_detection,1,NONE,PASS,No shared canonical output name.
BREAKOUT_UPPER,breakout_detection,1,NONE,PASS,No shared canonical output name.
BULL_POWER,elder_ray_index,1,NONE,PASS,No shared canonical output name.
CCI,cci,1,NONE,PASS,No shared canonical output name.
CENTER_OF_GRAVITY,center_of_gravity,1,NONE,PASS,No shared canonical output name.
CHAIKIN_OSCILLATOR,chaikin_oscillator,1,NONE,PASS,No shared canonical output name.
CHAIKIN_VOLATILITY,chaikin_volatility,1,NONE,PASS,No shared canonical output name.
CHANDELIER_LONG,chandelier_exit,1,NONE,PASS,No shared canonical output name.
CHANDELIER_SHORT,chandelier_exit,1,NONE,PASS,No shared canonical output name.
CHANDE_FORECAST_OSCILLATOR,chande_forecast_oscillator,1,NONE,PASS,No shared canonical output name.
CHOCH,market_structure,1,NONE,PASS,No shared canonical output name.
CHOPPINESS_INDEX,choppiness_index,1,NONE,PASS,No shared canonical output name.
CLOSE_TO_CLOSE_VOLATILITY,close_to_close_volatility,1,NONE,PASS,No shared canonical output name.
CMF,cmf,1,NONE,PASS,No shared canonical output name.
CMO,cmo,1,NONE,PASS,No shared canonical output name.
COEFFICIENT_OF_VARIATION,coefficient_of_variation,1,NONE,PASS,No shared canonical output name.
CONNORS_RSI,connors_rsi,1,NONE,PASS,No shared canonical output name.
COPPOCK_CURVE,coppock_curve,1,NONE,PASS,No shared canonical output name.
CORRELATION_TREND_INDICATOR,correlation_trend_indicator,1,NONE,PASS,No shared canonical output name.
CYCLE_IDENTIFIER,cycle_identifier,1,NONE,PASS,No shared canonical output name.
DEMA,dema,1,NONE,PASS,No shared canonical output name.
DEMARKER,demarker,1,NONE,PASS,No shared canonical output name.
DMI_MINUS,dmi,1,NONE,PASS,No shared canonical output name.
DMI_PLUS,dmi,1,NONE,PASS,No shared canonical output name.
DONCHIAN_LOWER,donchian_channel,1,NONE,PASS,No shared canonical output name.
DONCHIAN_MIDDLE,donchian_channel,1,NONE,PASS,No shared canonical output name.
DONCHIAN_UPPER,donchian_channel,1,NONE,PASS,No shared canonical output name.
DONCHIAN_WIDTH,donchian_width,1,NONE,PASS,No shared canonical output name.
DOUBLE_SMOOTHED_EMA,double_smoothed_ema,1,NONE,PASS,No shared canonical output name.
DPO,dpo,1,NONE,PASS,No shared canonical output name.
DYNAMIC_MOMENTUM_INDEX,dynamic_momentum_index,1,NONE,PASS,No shared canonical output name.
EASE_OF_MOVEMENT,ease_of_movement,1,NONE,PASS,No shared canonical output name.
EHLERS_ROOFING_FILTER,ehlers_roofing_filter,1,NONE,PASS,No shared canonical output name.
EHLERS_SUPER_SMOOTHER,ehlers_super_smoother,1,NONE,PASS,No shared canonical output name.
EMA,ema,1,NONE,PASS,No shared canonical output name.
EQUAL_HIGHS,equal_highs,1,NONE,PASS,No shared canonical output name.
EQUAL_HIGH_LEVEL,equal_highs,1,NONE,PASS,No shared canonical output name.
EQUAL_LOWS,equal_lows,1,NONE,PASS,No shared canonical output name.
EQUAL_LOW_LEVEL,equal_lows,1,NONE,PASS,No shared canonical output name.
FIBONACCI_0_0,fibonacci_retracement,1,NONE,PASS,No shared canonical output name.
FIBONACCI_100_0,fibonacci_retracement,1,NONE,PASS,No shared canonical output name.
FIBONACCI_23_6,fibonacci_retracement,1,NONE,PASS,No shared canonical output name.
FIBONACCI_38_2,fibonacci_retracement,1,NONE,PASS,No shared canonical output name.
FIBONACCI_50_0,fibonacci_retracement,1,NONE,PASS,No shared canonical output name.
FIBONACCI_61_8,fibonacci_retracement,1,NONE,PASS,No shared canonical output name.
FIBONACCI_78_6,fibonacci_retracement,1,NONE,PASS,No shared canonical output name.
FISHER_TRANSFORM,fisher_transform,1,NONE,PASS,No shared canonical output name.
FORCE_INDEX,force_index,1,NONE,PASS,No shared canonical output name.
FRACTAL_CHAOS_LOWER,fractal_chaos_bands,1,NONE,PASS,No shared canonical output name.
FRACTAL_CHAOS_UPPER,fractal_chaos_bands,1,NONE,PASS,No shared canonical output name.
FRAMA,frama,1,NONE,PASS,No shared canonical output name.
FVG_BEARISH,fair_value_gap,1,NONE,PASS,No shared canonical output name.
