Strategy,Pair,Timeframe,SL %,TP %,Initial Balance,Final Balance,Net Profit,ROI %,Max Drawdown %,Profit Factor,Total PnL %,Win Rate %,Trades,Expectancy,PF Score,PnL Score,Win Score,DD Score,Trade Score,Overall Score
SuperTrend + EMA + ATR SL,SOLUSDT,15m,1.5,3.0,10000.0,14554.92,4554.92,45.55,-27.09,1.07,48.0,35.68,454.0,10.03,13.375,24.0,11.893333333333334,6.455,10.0,65.72333333333333
EMA 200 Trend + Candlestick Confirmation,SOLUSDT,15m,2.5,3.0,10000.0,15235.02,5235.02,52.35,-39.15,1.08,54.0,48.57,315.0,16.62,13.5,25.0,16.19,0.4249999999999998,10.0,65.115
MACD + RSI + Volume,SOLUSDT,15m,2.0,3.0,10000.0,14334.36,4334.36,43.34,-33.64,1.06,49.0,42.29,428.0,10.13,13.25,24.5,14.096666666666666,3.1800000000000006,10.0,65.02666666666667
EMA 20/50 Cross + RSI Filter,ETHUSDT,15m,1.5,3.0,10000.0,14144.13,4144.13,41.44,-24.98,1.07,43.5,35.86,382.0,10.85,13.375,21.75,11.953333333333333,7.509999999999999,10.0,64.58833333333334
EMA 200 Filter + MACD Cross,SOLUSDT,15m,1.5,4.0,10000.0,14488.07,4488.07,44.88,-27.46,1.09,47.0,29.97,317.0,14.16,13.625000000000002,23.5,9.99,6.27,10.0,63.385000000000005
EMA 200 Filter + MACD Cross,XRPUSDT,15m,1.0,4.0,10000.0,14475.79,4475.79,44.76,-20.7,1.1,45.0,22.4,375.0,11.94,13.750000000000002,22.5,7.466666666666666,9.65,10.0,63.36666666666667
EMA 200 Filter + MACD Cross,ETHUSDT,15m,1.0,3.0,10000.0,13437.78,3437.78,34.38,-18.6,1.09,36.0,27.18,412.0,8.34,13.625000000000002,18.0,9.06,10.7,10.0,61.385000000000005
EMA Trend + RSI Pullback,SOLUSDT,15m,1.5,4.0,10000.0,14270.74,4270.74,42.71,-30.3,1.09,45.5,29.87,318.0,13.43,13.625000000000002,22.75,9.956666666666667,4.849999999999999,10.0,61.181666666666665
SuperTrend + EMA + ATR SL,ETHUSDT,15m,1.5,3.0,10000.0,12800.96,2800.96,28.01,-23.86,1.06,33.0,35.36,362.0,7.74,13.25,16.5,11.786666666666667,8.07,10.0,59.60666666666667
EMA Trend + RSI Pullback,ETHUSDT,15m,1.5,3.0,10000.0,13273.43,3273.43,32.73,-29.42,1.07,36.0,35.74,333.0,9.83,13.375,18.0,11.913333333333334,5.289999999999999,10.0,58.57833333333333
EMA 20/50 Cross + RSI Filter,SOLUSDT,15m,1.5,4.0,10000.0,13380.02,3380.02,33.8,-33.06,1.07,40.5,29.27,369.0,9.16,13.375,20.25,9.756666666666668,3.4699999999999998,10.0,56.85166666666667
EMA Trend + RSI Pullback,XRPUSDT,15m,1.0,4.0,10000.0,12325.52,2325.52,23.26,-27.38,1.05,29.0,21.48,391.0,5.95,13.125,14.499999999999998,7.16,6.3100000000000005,10.0,51.095
Bollinger Band Reversal + RSI,SOLUSDT,15m,2.5,3.0,10000.0,10750.22,750.22,7.5,-46.28,1.01,25.5,46.41,487.0,1.54,12.625,12.75,15.469999999999999,0.0,10.0,50.845
SuperTrend + RSI,SOLUSDT,15m,2.5,3.0,10000.0,10750.22,750.22,7.5,-46.28,1.01,25.5,46.41,487.0,1.54,12.625,12.75,15.469999999999999,0.0,10.0,50.845
EMA 200 Trend + Candlestick Confirmation,ETHUSDT,15m,2.0,5.0,10000.0,12112.58,2112.58,21.13,-34.2,1.06,29.0,30.73,192.0,11.0,13.25,14.499999999999998,10.243333333333332,2.899999999999998,9.6,50.49333333333333
MACD + RSI + Volume,ETHUSDT,15m,1.5,3.0,10000.0,11913.85,1913.85,19.14,-35.54,1.03,27.0,34.77,417.0,4.59,12.875,13.5,11.59,2.230000000000001,10.0,50.19500000000001
SuperTrend + EMA + ATR SL,BTCUSDT,15m,1.5,2.0,10000.0,9520.37,-479.63,-4.8,-18.23,0.98,-1.0,42.75,262.0,-1.83,12.25,0.0,14.25,10.885,10.0,47.385
EMA 20/50 Cross + RSI Filter,XRPUSDT,15m,1.0,4.0,10000.0,11387.24,1387.24,13.87,-31.21,1.03,22.0,20.99,443.0,3.13,12.875,11.0,6.996666666666666,4.395,10.0,45.266666666666666
EMA Trend + RSI Pullback,BNBUSDT,15m,1.0,5.0,10000.0,12228.77,2228.77,22.29,-35.95,1.08,27.0,18.39,261.0,8.54,13.5,13.5,6.13,2.024999999999999,10.0,45.155
EMA Trend + RSI Pullback,BTCUSDT,15m,1.5,3.0,10000.0,9901.68,-98.32,-0.98,-18.35,0.99,3.0,33.71,178.0,-0.55,12.375,1.5,11.236666666666666,10.825,8.9,44.836666666666666
EMA 20/50 Cross + RSI Filter,BTCUSDT,15m,1.5,3.0,10000.0,9694.65,-305.35,-3.05,-19.72,0.99,1.5,33.5,206.0,-1.48,12.375,0.75,11.166666666666668,10.14,10.0,44.43166666666667
MACD + RSI + Volume,BTCUSDT,15m,1.0,2.0,10000.0,9972.87,-27.13,-0.27,-23.08,1.0,4.0,33.64,428.0,-0.06,12.5,2.0,11.213333333333333,8.46,10.0,44.17333333333333
Candlestick Confirmation + Volume,BNBUSDT,15m,2.0,4.0,10000.0,10807.26,807.26,8.07,-55.53,1.01,20.0,34.43,305.0,2.65,12.625,10.0,11.476666666666667,0.0,10.0,44.10166666666667
EMA 200 Filter + MACD Cross,BTCUSDT,15m,1.5,4.0,10000.0,10213.42,213.42,2.13,-17.93,1.01,6.5,28.08,146.0,1.46,12.625,3.25,9.36,11.035,7.3,43.56999999999999
EMA 200 Filter + MACD Cross,BNBUSDT,15m,1.0,5.0,10000.0,11781.3,1781.3,17.81,-35.11,1.07,23.0,18.18,253.0,7.04,13.375,11.5,6.06,2.4449999999999994,10.0,43.379999999999995
EMA 200 Trend + Candlestick Confirmation,BTCUSDT,15m,1.5,3.0,10000.0,9606.85,-393.15,-3.93,-19.31,0.98,0.0,33.33,180.0,-2.18,12.25,0.0,11.11,10.344999999999999,9.0,42.705
EMA 20/50 Cross + RSI Filter,BNBUSDT,15m,1.0,5.0,10000.0,11661.38,1661.38,16.61,-36.79,1.05,23.0,17.97,295.0,5.63,13.125,11.5,5.99,1.6050000000000009,10.0,42.220000000000006
EMA 200 Trend + Candlestick Confirmation,BNBUSDT,15m,2.0,5.0,10000.0,11500.81,1500.81,15.01,-43.89,1.05,22.0,30.57,157.0,9.56,13.125,11.0,10.19,0.0,7.8500000000000005,42.165
SuperTrend + EMA + ATR SL,BNBUSDT,15m,2.5,5.0,10000.0,11186.42,1186.42,11.86,-47.02,1.04,20.0,35.25,139.0,8.54,13.0,10.0,11.75,0.0,6.949999999999999,41.7
Candlestick Confirmation + Volume,SOLUSDT,15m,2.5,3.0,10000.0,8711.74,-1288.26,-12.88,-54.02,0.98,7.5,45.69,569.0,-2.26,12.25,3.75,15.229999999999999,0.0,10.0,41.23
Bollinger + ATR Volatility Filter,SOLUSDT,15m,2.5,2.0,10000.0,6939.0,-3061.0,-30.61,-65.02,0.97,-14.5,55.19,877.0,-3.49,12.125,0.0,18.396666666666665,0.0,10.0,40.52166666666666
EMA 200 Trend + Candlestick Confirmation,XRPUSDT,15m,1.0,4.0,10000.0,10818.54,818.54,8.19,-37.36,1.02,17.0,20.75,453.0,1.81,12.75,8.5,6.916666666666666,1.3200000000000012,10.0,39.486666666666665
Bollinger + ATR Volatility Filter,XRPUSDT,15m,2.5,2.0,10000.0,2739.99,-7260.01,-72.6,-82.72,0.89,-110.0,52.36,764.0,-9.5,11.125,0.0,17.453333333333333,0.0,10.0,38.57833333333333
SuperTrend + EMA + ATR SL,XRPUSDT,15m,1.0,4.0,10000.0,10476.65,476.65,4.77,-37.79,1.01,14.0,20.6,466.0,1.02,12.625,7.000000000000001,6.866666666666667,1.1050000000000004,10.0,37.596666666666664
Bollinger + ATR Volatility Filter,BTCUSDT,15m,2.0,2.0,10000.0,6809.56,-3190.44,-31.9,-47.66,0.91,-30.0,48.22,421.0,-7.58,11.375,0.0,16.073333333333334,0.0,10.0,37.44833333333334
Bollinger + ATR Volatility Filter,ETHUSDT,15m,2.5,3.0,10000.0,6614.49,-3385.51,-33.86,-63.87,0.95,-24.0,44.52,465.0,-7.28,11.875,0.0,14.840000000000002,0.0,10.0,36.715
Bollinger Band Reversal + RSI,ETHUSDT,15m,2.0,3.0,10000.0,8936.39,-1063.61,-10.64,-51.06,0.98,2.0,40.09,444.0,-2.4,12.25,1.0,13.363333333333333,0.0,10.0,36.61333333333333
Bollinger Band Reversal + RSI,BTCUSDT,15m,1.0,2.0,10000.0,7816.15,-2183.85,-21.84,-33.53,0.94,-19.0,32.24,577.0,-3.78,11.75,0.0,10.746666666666666,3.234999999999999,10.0,35.73166666666667
SuperTrend + RSI,BTCUSDT,15m,1.0,2.0,10000.0,7737.99,-2262.01,-22.62,-33.53,0.94,-20.0,32.18,578.0,-3.91,11.75,0.0,10.726666666666667,3.234999999999999,10.0,35.711666666666666
SuperTrend + RSI,ETHUSDT,15m,2.0,3.0,10000.0,8676.11,-1323.89,-13.24,-51.06,0.98,-1.0,39.95,443.0,-2.99,12.25,0.0,13.316666666666668,0.0,10.0,35.56666666666667
