Strategy,Pair,Train Start,Train End,Test Start,Test End,Train ROI,Test ROI,Train Win Rate,Test Win Rate,Train PF,Test PF,Walk Forward Score,Status
Bollinger + ATR Volatility Filter,BTCUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,-7.94,-27.36,32.83,28.64,0.96,0.77,59.6,FAIL
Bollinger + ATR Volatility Filter,BTCUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-29.87,13.54,31.12,37.1,0.89,1.17,100.0,PASS
Bollinger + ATR Volatility Filter,BTCUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-8.83,-23.86,49.62,39.68,0.96,0.61,55.88,FAIL
Bollinger + ATR Volatility Filter,ETHUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,25.9,-36.54,47.9,38.53,1.06,0.7,55.38,FAIL
Bollinger + ATR Volatility Filter,ETHUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-38.84,17.42,47.82,54.64,0.9,1.18,100.0,PASS
Bollinger + ATR Volatility Filter,ETHUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-9.23,-31.48,55.49,46.59,0.97,0.65,57.74,FAIL
Bollinger + ATR Volatility Filter,BNBUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,36.68,-32.74,42.24,28.81,1.11,0.6,49.53,FAIL
Bollinger + ATR Volatility Filter,BNBUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-16.51,-1.0,24.43,25.0,0.96,0.98,70.0,PASS
Bollinger + ATR Volatility Filter,BNBUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-29.14,-13.52,31.17,30.63,0.89,0.88,69.29,FAIL
Bollinger + ATR Volatility Filter,SOLUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,9.43,-40.38,39.77,31.37,1.02,0.69,56.63,FAIL
Bollinger + ATR Volatility Filter,SOLUSDT,2025-09-07,2026-03-06,2026-03-06,2026-05-05,-42.12,10.96,53.69,58.82,0.91,1.12,100.0,PASS
Bollinger + ATR Volatility Filter,SOLUSDT,2025-11-06,2026-05-05,2026-05-05,2026-07-04,-16.92,-7.69,55.13,54.62,0.96,0.93,68.99,FAIL
Bollinger + ATR Volatility Filter,XRPUSDT,2025-07-09,2026-01-05,2026-01-05,2026-03-06,-28.46,-43.13,43.97,37.7,0.93,0.67,59.45,FAIL
